run_id,timestamp,dataset,result_group,method,setting,checkpoint,checkpoint_path,timm_pretrained,batch_size,num_workers,max_batches,samples,batches,tokens,num_patches,token_keep_ratio,acc,latency_ms,throughput_s,device,tome_r_values,tome_keep_ratios,evit_keep_ratios,evit_layer
20260613_112947,2026-06-13T11:29:47,oxford_pets,training-free,tome,r=8,auto,checkpoints/oxford_pets_vit_b16_ft/best_model.pth,False,128,4,,3669,29,100.0,196,0.510204,90.7059,11.1338,89.8167,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_112947,2026-06-13T11:29:47,oxford_pets,training-free,tome,r=13,auto,checkpoints/oxford_pets_vit_b16_ft/best_model.pth,False,128,4,,3669,29,40.0,196,0.204082,90.4334,8.7087,114.8278,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_112947,2026-06-13T11:29:47,oxford_pets,training-free,evit,"keep=0.75, layer=3",auto,checkpoints/oxford_pets_vit_b16_ft/best_model.pth,False,128,4,,3669,29,147.0,196,0.75,91.0602,11.5711,86.4219,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_112947,2026-06-13T11:29:47,oxford_pets,training-free,evit,"keep=0.68, layer=3",auto,checkpoints/oxford_pets_vit_b16_ft/best_model.pth,False,128,4,,3669,29,133.0,196,0.678571,90.8694,10.8451,92.2074,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_112947,2026-06-13T11:29:47,oxford_pets,training-free,evit,"keep=0.50, layer=3",auto,checkpoints/oxford_pets_vit_b16_ft/best_model.pth,False,128,4,,3669,29,98.0,196,0.5,89.7247,8.5646,116.7594,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_124838,2026-06-13T12:48:38,food101,training-free,baseline,full,auto,checkpoints/food101_vit_b16_in21k/best_model.pth,False,128,4,,25250,198,196.0,196,1.0,91.3624,14.3547,69.6636,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_124838,2026-06-13T12:48:38,food101,training-free,tome,r=0,auto,checkpoints/food101_vit_b16_in21k/best_model.pth,False,128,4,,25250,198,196.0,196,1.0,91.3624,14.6233,68.384,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_124838,2026-06-13T12:48:38,food101,training-free,tome,r=4,auto,checkpoints/food101_vit_b16_in21k/best_model.pth,False,128,4,,25250,198,148.0,196,0.755102,91.1762,13.1693,75.9342,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_124838,2026-06-13T12:48:38,food101,training-free,tome,r=8,auto,checkpoints/food101_vit_b16_in21k/best_model.pth,False,128,4,,25250,198,100.0,196,0.510204,90.7327,11.3463,88.1348,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_124838,2026-06-13T12:48:38,food101,training-free,tome,r=13,auto,checkpoints/food101_vit_b16_in21k/best_model.pth,False,128,4,,25250,198,40.0,196,0.204082,89.2634,8.7374,114.4506,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_124838,2026-06-13T12:48:38,food101,training-free,evit,"keep=0.75, layer=3",auto,checkpoints/food101_vit_b16_in21k/best_model.pth,False,128,4,,25250,198,147.0,196,0.75,90.0911,11.5305,86.7263,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_124838,2026-06-13T12:48:38,food101,training-free,evit,"keep=0.68, layer=3",auto,checkpoints/food101_vit_b16_in21k/best_model.pth,False,128,4,,25250,198,133.0,196,0.678571,89.4495,10.9171,91.5996,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
20260613_124838,2026-06-13T12:48:38,food101,training-free,evit,"keep=0.50, layer=3",auto,checkpoints/food101_vit_b16_in21k/best_model.pth,False,128,4,,25250,198,98.0,196,0.5,86.2416,8.5777,116.5809,cuda:0,"0,4,8,13",,"0.75,0.68,0.50",3
